"filename", "language", "Swift", "JSON", "Dart", "YAML", "C++", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\feed\top\view\widgets\content_type_picker_chips.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\feed\top\view\widgets\date_range_picker_chips.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\forgot_password\forgot_password.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\forgot_password\view\forgotpass_view.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 96
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\forgot_password\view\forgotpass_view_new.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 5, 123
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\home\home.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\home\view\home_view.dart", "Dart", 0, 0, 96, 0, 0, 0, 0, 0, 0, 2, 7, 105
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\landing\landing.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\landing\view\landing_view.dart", "Dart", 0, 0, 267, 0, 0, 0, 0, 0, 0, 12, 33, 312
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\bloc\library_bloc.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 4, 35
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\bloc\library_event.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\bloc\library_state.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\library.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\view\library_collections_view.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\view\library_completed_view.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\view\library_recommends_view.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\view\library_saved_view.dart", "Dart", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 5, 116
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\library\view\library_screen.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 3, 8, 93
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\login\bloc\login_cubit.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 9, 67
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\login\bloc\login_state.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\login\login.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\login\view\login_form_view.dart", "Dart", 0, 0, 266, 0, 0, 0, 0, 0, 0, 6, 15, 287
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\login\view\login_main_view.dart", "Dart", 0, 0, 277, 0, 0, 0, 0, 0, 0, 4, 8, 289
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\my_profile\bloc\user_bloc.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 5, 13, 88
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\my_profile\bloc\user_event.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 14, 50
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\my_profile\bloc\user_state.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\my_profile\my_profile.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\my_profile\view\my_profile_view.dart", "Dart", 0, 0, 298, 0, 0, 0, 0, 0, 0, 9, 11, 318
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\my_profile\view\profile_recommendations_list.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\new_action\cubit\new_action_cubit.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\new_action\cubit\new_action_state.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\new_action\new_action.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\new_action\view\new_action_view.dart", "Dart", 0, 0, 191, 0, 0, 0, 0, 0, 0, 7, 14, 212
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\notifications\notifications.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\notifications\view\notifications_view.dart", "Dart", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 11, 132
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\cubit\onboarding_cubit.dart", "Dart", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 10, 111
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\cubit\onboarding_state.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\onboarding.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\view\edit_onboarding_view.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 4, 9, 175
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\view\onboarding_0_view.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 3, 6, 63
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\view\onboarding_1_connect_twitter_view.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 4, 104
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\view\onboarding_2_follow_from_twitter_view.dart", "Dart", 0, 0, 258, 0, 0, 0, 0, 0, 0, 14, 20, 292
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\view\onboarding_3_follow_from_upcarta_view.dart", "Dart", 0, 0, 225, 0, 0, 0, 0, 0, 0, 2, 17, 244
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\onboarding\view\onboarding_4_follow_topics_view.dart", "Dart", 0, 0, 206, 0, 0, 0, 0, 0, 0, 2, 15, 223
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\other_profile\bloc\other_profile_bloc.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 9, 63
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\other_profile\bloc\other_profile_event.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 11, 41
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\other_profile\bloc\other_profile_state.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 11, 11, 46
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\other_profile\view\other_profile_view.dart", "Dart", 0, 0, 307, 0, 0, 0, 0, 0, 0, 12, 10, 329
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\settings\settings.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\settings\view\email_settings_view.dart", "Dart", 0, 0, 280, 0, 0, 0, 0, 0, 0, 1, 6, 287
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\settings\view\notification_settings_view.dart", "Dart", 0, 0, 247, 0, 0, 0, 0, 0, 0, 1, 6, 254
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\settings\view\password_settings_view.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 1, 5, 174
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\settings\view\settings_view.dart", "Dart", 0, 0, 173, 0, 0, 0, 0, 0, 0, 5, 5, 183
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\signup\bloc\signup_cubit.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 8, 47
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\signup\bloc\signup_state.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\signup\signup.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\signup\view\register_view.dart", "Dart", 0, 0, 233, 0, 0, 0, 0, 0, 0, 5, 16, 254
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\splash\splash.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\splash\view\initial_view.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 9, 7, 92
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\splash\view\splash_view.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 7, 63
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\chips\wrapped_single_chip_explore.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\chips\wrapped_single_chip_library.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\circle_image.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\collection_card.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 5, 6, 111
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\components.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\content_card.dart", "Dart", 0, 0, 280, 0, 0, 0, 0, 0, 0, 7, 10, 297
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\content_list.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\feed_content_list.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\horizontal_content_list\horizontal_content_list__collectons_and_asks.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 2, 4, 65
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\recommended_by.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 5, 61
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_asks.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_collections.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_collections_and_asks.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_contents.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_general.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_people.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\ui_components\search_bars\search_bar_topics.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\colors.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 7, 44
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\constants.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 32, 2, 112
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\content_type_info.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\dimensions.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\styles.dart", "Dart", 0, 0, 132, 0, 0, 0, 0, 0, 0, 4, 22, 158
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\theme.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 3, 88
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\upcarta_theme.dart", "Dart", 0, 0, 116, 0, 0, 0, 0, 0, 0, 13, 6, 135
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\util\view_paths.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 14, 46
"c:\Users\doraa\Github_repos\upcarta_mobile_app\pubspec.yaml", "YAML", 0, 0, 0, 81, 0, 0, 0, 0, 0, 43, 20, 144
"c:\Users\doraa\Github_repos\upcarta_mobile_app\test\widget_test.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 11, 6, 29
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 5, 12
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 13, 62
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 183, 0, 0, 0, 0, 15, 48, 246
"c:\Users\doraa\Github_repos\upcarta_mobile_app\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 12, 88, 11404, 84, 405, 2, 128, 8, 108, 784, 1328, 14351